,sentence,label
76,successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future briefs,joy
77,think feelings one nay important things,joy
78,feel completely honored influence young talented fully alive beautiful girl woman,joy
79,feel angered firey,anger
80,feel like miserable piece garbage,sadness
81,feel like need make list leanne would appalled thought dont miss anything,anger
82,drove dannika school feeling little bit rushed greeted turned corner,anger
83,remember feeling hellip furious shooter,anger
84,feel happy excited since learned many things,joy
85,feel shows around show horses people trusting relaxed show horses safe quiet handled frequently,joy
86,couple things left make start december done feeling smug,joy
87,think u could make feel realize everything ok,joy
88,feel worthless times struggling finding work,sadness
89,able lay bed dark feel terrified least,fear
90,ready meet mom airport feel ever supportive arms around,love
91,im feeling bitter today mood strange entire day guess,anger
92,mums brother passed away involved car accident bringing present passed form five exams flying colours,sadness
93,letting go animosity towards anyone feel wronged,anger
94,talk dogs feel cannot understand words read emotions know supportive decided go home,love
95,feel like throwing away shitty piece shit paper,sadness
96,im starting feel wryly amused banal comedy errors life turning,joy
97,find every body beautiful want people feel vital bodies,joy
98,hear owners feel victimized associations associations attorneys property manager,sadness
99,say goodbye fam theyre sad crying feel like heartless bitch hey im pretty excited flying first time know also spend year another country,anger
100,wont let child cry feel loving lily little going opportunities lasted short months,love
101,alba feel good im fitting,joy
102,feel excited im feel like ton catching,joy
103,also know good feels look back see honored word helps start,joy
104,mean really really hard works obtain high technical skill wushu feel kinda ashamed somehow motivated saw kids wushu performances whole heartedly despite tiredness,sadness
105,feel like things getting little overwhelming spritz toner really helps calm soothe,joy
106,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,joy
107,feeling festive today even going put tree soon finished catching week goings ons coronation street,joy
108,finding ill seriously,joy
109,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost crying finished grappling,sadness
110,feel rarely advances worthwhile cause always stick rule posting anything online wouldnt prepared say somebodys face,joy
111,feeling useful,joy
112,feel like pains cannot imagine becoming passionate group idea causing pain,love
113,feel ugly inclined wear ratty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely bother buy new pair,sadness
114,im feeling homesick yet im feeling alright,sadness
115,dance feel pretty,joy
116,workout every morning feel fabulous,joy
117,feel eyes touch words eyes know assuredly return love know shall vain,sadness
118,feeling fabulous friday morning started get awful cramps work,joy
119,feel honoured able call friends share brotherhood,joy
120,begun feel apprehensive thick black rain clouds stormed sky town,fear
121,stated reason feel fearful feel unsafe,fear
122,feel like getting shaken tsa quite yet pulled side creative croissants lunch,fear
123,get groups feel really awkward overcompensate talkative getting really quiet,sadness
124,excited finally meet companion companion times especially lonely lonely companion never disappoint companion put arms around make feel loved,love
125,feel pretty safe blog img src http,joy
126,feel pretty eager get done fun plan quilting,joy
127,feeling horny ask lets go home,love
128,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,fear
129,feel stranger strange land raising son place father ancestral home,surprise
130,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,joy
131,feel energetic bouncy happy go gym run around outside kids take pram long walk often three one day,joy
132,still feeling strong,joy
133,burst tears devastating release feelings thoughts seemed know rich also go space without dumping,joy
134,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,anger
135,suppose feels badly bit skeptical pain last months shes hyperchondria exaggeration habit past though never openly questioned,fear
136,clench corners bed feel assured,joy
137,also feel like selfish grateful life amazing things,anger
138,called god seen god book figured god right name feeling utterly affirmed accepted without question,love
139,know perhaps girls office nice short hair perhaps feeling rebellious,anger
140,feel miserable family type celebrates eid,sadness
141,might go get car wash feeling really generous car needs,joy
142,still feel sleep deprived almost sleeping night giving us,sadness
143,feel really violent right,anger
144,bloging sitting feeling content dogs amp cat etc know lucky truth,joy
145,started feeling funny friday woke sick dog,surprise
146,feel need protect parents witch hunt repressed memory therapy,sadness
147,feel disgusted even associated woman race nationality,anger
148,laughed bitterly wasnt feeling bitter,anger
149,know feeling thought wished could us us knew however much hated first experience would remember forever,sadness
150,feeling quite mellow wanted soft easy look wear beginning cold,joy
151,told maybe need time think ive feeling indecisive things lately,fear
152,still feel genre disservice stories resolved artifically,joy
153,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,joy
154,remember feeling really terrified brazil bus going steep mountain hills side mountain middle big storm wondering going fall,fear
155,could feel whimper thought unloved uncared,sadness
156,im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,surprise
157,im sorry wasnt humor post im feeling funny,surprise
158,feel ive got foot door fantastic world walking running trails fells mountains,joy
159,say whatever comes mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,anger
160,feel strange coming back work one day holiday,fear
161,im clearly influenced dash happiness emily dickinson example use dashes instead colons semi colons enhance feelings rushed enjambment sonnet,anger
162,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girls,sadness
163,could claim redeem genre leave feeling entirely frustrated point beating head wall either,anger
164,feel sad hopeless,sadness
165,im getting feeling classes little intimidated concept lit,fear
166,still feel groggy get routine son,sadness
167,feeling view isnt going popular thats fine,joy
168,want hold feeling shocked awe wonder forever,surprise
169,heard rumour st year exam results fear might one failures,fear
170,want feel valued appreciated know people love arent going anywhere even nature relationship changes,joy
171,know days feel distracted,anger
172,use regularly relaxing music always feel invigorated afterward,joy
173,im feeling distracted tend practice eyes shut much possible,anger
174,feel like perfect w see youtube influences even know trends,joy
175,specifically wanted tango feeling shy maks quite opposite hard get far enough away get good pics lol,fear
176,also feel weird sleeping bed two slept,fear
177,wish okay thinking earlier today heres thing cooped amp restless made feel needy,sadness
178,ive lost weight could fit tiny skirt ive unable wear didnt feel confident,joy
179,hope feel bit creative soon miss presence life blog,joy
180,fan current president conservative made feel unwelcome,sadness
181,enclose verses could weigh much thinking feeling curious hear odd couple,surprise
182,begin feel complacent life,joy
183,feel vulnerable alone,fear
184,remember feeling inspired thinking fine example parenting,joy
185,feel like always one getting punished stupid things feel like chastised behaving,sadness
186,really feel life perfect right isnt much ask hope everything would stay,joy
187,im simply feel contented,joy
188,im saying cut everyone life feel important find comfort solitude meditation working projects alone,joy
189,think im stupid feeling nervous,fear
190,feel honored,joy
191,feeling act god work life amazing feeling,surprise
192,feel im like bird flying air carefree manner,joy
193,revise replies mind make sure reply sounds appropriate enough person receive reply feel offended,anger
194,felt sad friend mine died felt something irrevocably gone away,sadness
195,died would alex matt feel regretful coming visit,sadness
196,feel educating families supporting educationg mamas papas key,joy
197,im sure lost feel like everyone hostile toward hate feeling,anger
198,feel like boring sewing makes since easy nothing else say fabric usage,sadness
199,always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,joy
200,feel like talented young man feel talented work,joy
201,feel curious things around,surprise
202,feel reason apart others lives im help become something push succeed successful happy,joy
203,feel uncomfortable guess,fear
204,feel pretty mellow far whatever healing wounding process may getting underway,joy
205,wonder sometimes whether added antagonism misunderstanding many people towards us feel reluctant wholeheartedly support traditional armistice day remembrances,fear
206,legs would feel shitty miles would come around like always,sadness
207,know unfair reaction run ways explain feel shaken best come right,fear
208,seriously feel blessed support home amazing,love
209,feel abused maligned mostly tired nervous feeling anticipating danger,sadness
210,feeling pretty restless right typing,fear
211,know gosman touristy place go montauk area infrequent visitors area want head harbor feel gentle cawing seagulls lapping water wood pilings relaxing breeze coming water,love
212,admit hilarious e cards seriously exactly feel stressed feel moment could start hy,sadness
213,wrote last year feeling dull inarticulate normal,sadness
214,id kick gear feel irritable motivation ever,anger
215,feel child innocent feelings illustrating,joy
216,satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,love
217,start feel resentful,anger
218,spend vacation obligations headaches feeling like emotional blackmailed three places,sadness
219,feel herpes coming would surprised point make checkup clinic wednesday,surprise
220,feel fucked like everyday life,anger
221,ive worked really hard year try make child class feel like valued,joy
222,feeling disheartened words late,sadness
223,feel like bitchy time upon retrospect think trying shake,anger
224,still second guess still terrible time making definitive decisions certain truths know feel assured truths,joy
225,feel like eggs benedict something equally delicious,joy
226,im feeling way trusting,joy
227,im feeling inspired summery elements favorite past time beach bummin,joy
228,feel smiled love even gorgeous,joy
229,continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,sadness
230,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,joy
231,say feel sympathetic,love
232,feeling eager hopped tube ride eye london,joy
233,go online see friend talking another one talking feel ignored feel unloved,sadness
234,monitoring say anything ever come across blogs feel offended please dont stop,anger
235,feel like weird cancer one time,surprise
236,want feel safe well maybe maybe theres small chance feel joy dreams come true,joy
237,im feeling cranky,anger
238,also think puzzling particular administrator singled praise ability get students read feels ssr time productive use class time,joy
239,tried fill befriending people knew using didnt care needed feel accepted even complete loser,love
240,feel stressed always,sadness
241,remember feeling another cramp also ignored,sadness
242,hope feel mellow well fed well slept peace within external world,joy
243,also learned takes lot effort positive thinking break tears feeling exhausted guilty better mom,sadness
244,im feeling awful hung friend new baby day,sadness
245,feel relaxed fine,joy
246,feel suffering really feel pain,sadness
247,go sleep feel giving precious time something else life,joy
248,feel like neglecting beloved mom blog,joy
249,shalt say cos din feel thing wrote hw keen xxx,joy
250,feel terrified like im edge precipice staring ahead,fear
251,feel totally listless exams come gone whole five months front uni free time,sadness
252,feel furious right life advocates tell live die lobbying supporting politicians sympathic views,anger
253,feel abused way,sadness
254,im still paying attention feel distracted,anger
255,started third block feeling hot cold tingly time knowing still five hours examination ahead idea would good,love
256,im hesitant make suggestions feel outcome would sincere,joy
257,feel terribly fond majority precise time,love
258,feel gaining control damaged goods aspects personal security,sadness
259,bombed first interview left second interview feeling pretty fan freaking tastic,joy
260,think kind taken us long build good inventory sauces oils spices non perishables feel like chance making something delicious without specifically go buy every single item recipe,joy
261,feel advise dads whose children soon become teenagers cool pull kid high school pick smelly jalopy plants coming windows,joy
262,feel victimized drag country heads sand traditionalists hesitate call conservatives fear offending real honest god conservatives still think world created years ago stuff like skeletal remains kind hoax,sadness
263,would feel lucky call materials kits site mine beautifully curated,joy
264,bloods proved reason feeling lethargic rubbish low iron prescribed iron tablets,sadness
265,mind feel like mind dangerous life,anger
266,feel like love everyone least compassionate toward others,love
267,feel punished neglecting,sadness
268,feel like doesnt capture beauty lovely polish,love
269,feel like lost main roots feel less secure emotionally financially socially,sadness
270,feel like bite bullet every time think feel stressed im fully supported decisions,sadness
271,know obnoxiously immature sounding verbal tics voice kind nasal always come across like sharpest tool shed especially feeling awkward knowing knowing know,sadness
272,id terrible nightmare feeling little disturbed,sadness
273,didnt want walk passed case customers feel disturbed,sadness
274,want sufferers able find hope battle help feel alone,sadness
275,feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,fear
276,festive feels delicious wheeeeee great night,joy
277,looking forward beaten feeling like disappointment husband emotional pain,sadness
278,im sick feeling crappy,sadness
279,feel like almost convinced going pattern,joy
280,also wear im wearing dress makes feel slutty feels like antique underwears obviously little bit edgy maybe little bit little bit,love
281,feel perverse pride self control managed stay ordered reach tempting human flesh close us,sadness
282,feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic days,anger
283,positively giddy kids left morning last official class year im feeling little sad,sadness
284,feel supportive also cant help feel jealous,love
285,mainly like text feel like much clever written word rather spoken,joy
286,seriouly feel respected dont privacy ordered around,joy
287,said words devotee feel relieved hear title deen bandhu fallen person become afraid title uplifter devotees consider true devotee hence unworthy benefit aspect personality,joy
288,personalities feel pain suffering,sadness
289,guess would feel like joseph walt trusting care mother finances six months died times want defend self god makes quiet,joy
290,warming starting feeling little lethargic,sadness
291,feel excelent sometimes theres nothing especially since im really keen video games anymore watch bit anime movies theres got life,joy
292,wonder master feeling r wanting eager please master could much enjoy attentions wrong desire return affections,joy
293,im feeling little bit positive things quite hard first savings eaten quickly costs didnt want become burden boyfriend weve come end im feeling brighter inspired things come,joy
294,im feeling rather sentimental right say feel lucky maxs mom,sadness
295,make show feel isolated crowd ill know wrong anti social feeling,sadness
296,ive learned turn emotions often find feeling completely blank mother crying continuously suicidalness,sadness
297,feel loyal style,love
298,understand may feel youd rather bit vulnerable homeless london precise way,fear
299,finally stop feeling listless like waste space,sadness
300,know im feeling agitated side effect high dose,fear
301,feel shift positive,joy
302,feeling brave enough,joy
303,fear thief,fear
304,feel clever nov,joy
305,always spend money mean feel dissatisfied exit store,anger
306,im feeling really quite angry,anger
307,feel kerry didnt supporting civil unions gay equality,love
308,feel really ashamed,sadness
309,feel amazing people life,surprise
310,finally left feeling judged ridiculed intelligent,joy
311,starting feel bit insulted stranger,anger
312,many days feel hopeless today light end yellow brick road shining little brighter,sadness
313,actually feel sorrowful,sadness
314,see women wearing boots feel envious want curse,anger
315,feel feel tell together apologize make keep loving bits bits,love
316,go say feeling impressed youre naomi klein right,surprise
317,began feel senses dull cold black unconsciousness came,sadness
318,suspect feel less fond private,love
319,honoured young woman felt comfortable enough ask kind faux hawk thing going back must looked dykey enough feel safe talking,joy
320,wonder cast caveman told perfect part feel insulted complimented,anger
321,feel convinced plus many diverse price tags feel sure everyone come funds plot lighted relatively economically,joy
322,feel empty baby isnt,sadness
323,stopped feeling exhausted href http provokingbeauty,sadness
324,im feeling font friendly,joy
325,hand beads consciously breathing consciously working feel calm list things accomplish afternoon,joy
326,always feel intimidated people especially always compare people ever since young,fear
327,made feel rotten,sadness
328,started feeling hostile checking hemorrhoids,anger
329,love wearing new shoes feel glamourous get pair designer shoes love box trimmings come,joy
330,know largely fact feelings romantic sexual successfully hidden,love
331,love feeling something warmly hugging feeling precious small precious someone something,joy
332,im feeling far mellow normal,joy
333,became dismayed studied people wearing started feeling like though outfits gorgeous bought way,joy
334,dont want wax draw anything need unibrow maybe get rid spare hairs creeping toward eyelid im feeling brave,joy
335,im feeling lucky width li style border px list style outside margin px px,joy
336,recall high school feelings longing watched olympic runners feel st,love
337,woke feeling confident watched bodypump dvd gather coaching tips compulsory cues,joy
338,didnt say strong feelings always make skeptical first,fear
339,want talk limited time phone current arrangment feel hesitant bring,fear
340,beginning feel theres good chance might pass,joy
341,feel like little control help sweet pea better know ahead,joy
342,feel like receiving end violent attack,anger
343,feel worthwhile document people familiar batch files,joy
344,feeling especially thankful many small blessings life right,joy
345,hoping weatherman right forecast stay home dont venture rain tomorrow feeling kind creative,joy
346,feel like im edge microcosm one awkward moment missed party id outside,sadness
347,feel bit funny actually,surprise
348,learnt nothing else last two years best feel way trusting instincts,joy
349,feeling also blossoming eager anxiety,joy
350,feel burdened share,sadness
351,always want nemo side sleeping without feels weird even though doesnt happen often get,surprise
352,im feeling outfit heels gorgeous,joy
353,feel confused,fear
354,feel session useful gave tools need move forward life,joy
355,feel selfish bringing loneliness child know parents newtown grieving lost babies,anger
356,took away disappointed feeling paining gave heart heal lord one love never betrayed never lose loyalty even loyal,love
357,feel envious embarrassed,anger
358,could feel frantic need need make,fear
359,feeling overwhelmed responsibilities teacher someone trusting precious gift honor,surprise
360,feel tranquil right great,joy
361,feel frustrated new music new lyrics clearly nothing,anger
362,thought going talk try work things shocked find steve decided wanted thing broke feeling unloved,sadness
363,wouldnt beared witness incredibly well spoken bouncer making emo kid feel completely unwelcome,sadness
364,tend stop breathing feeling stressed,sadness
365,smoker years quit weeks ago right finished book cant believe free feel knew quit terrified life without cigarettes,fear
366,go mailbox talk mailman grocery clerk etc matter small step limited risk complete total willingness experience whatever thoughts feelings sensations emerge important,joy
367,already feeling frantic,fear
368,feel like insecurity good thing first started writing pictured,joy
369,feel complimented insulted,anger
370,crave fall submission feel submissive least,sadness
371,feel tender fine,love
372,feel irritated pissed even like someone wakes moment edge falling deep slumber,anger
373,made work feeling little groggy,sadness
374,want love feel like sort hindrance thats keeping loving,love
375,feel fond ok second thought really sensitive spelled everything,love
376,ill get round quarter im feeling hopeful one,joy
377,im starting feel unwelcome life people already tell,sadness
378,feel absolutely fantastic hope baby,joy
379,watched snow fall accumulate conifer trees shoveling shirt sleeves feeling vigorous,joy
380,feel bitter honkerblonked general,anger
381,feeling father already convinced,joy
382,love feel passionate living dream gotten taste feels like nothing stop,love
383,play rain squeal glee feeling mud squishing toes enjoy pretty much anything takes place outdoors,joy
384,feeling humorous put cold callers hold,joy
385,busy stuffs never blogs threads make feel miserable,sadness
386,feel energized curious life god potential give something back society finding someone heart,surprise
387,feel privileged also lot work,joy
388,im pretty happy little nauseated side feel thrilled,joy
389,close eyes hear pitiful wailing sounds cries taste salty taste tears feel anger hurt saturating heart,sadness
390,bought virtually fat free thousand islands feeling impressed hold large quantities substance leaves lettuce cucumber friend total sugar becomes burn fat,surprise
391,im sure folks virginia florida handful swing states agree feel put upon insulted constant barrage,anger
392,feel like im putting innocent man death row,joy
393,sure else help feel smart,joy
394,begin feel every waking moment devoted work,love
395,feel thankful lessons learning,joy
396,feel longing sadness see families children,love
397,feel distinctly called clermont focus little ones seem naughty,love
398,hope feel glad gave many things including memories cherish,joy
399,feeling pretty worthless right,sadness
400,feel projects clever useful enough figured would start sharing instructables wrote first one weekend,joy
401,continued think along lines probably would done dishes anger got wed fight feeling completely abused,sadness
402,didnt feel especially nervous finland landed paris little unsure would ahead us thought st grade student janne suominen,fear
403,feel envious kids certain moments,anger
404,feeling like pretty crappy mom,sadness
405,im feeling pissed aac feeling kind miserable frustrated life whole week,anger
406,im scared anymore im fine feel terrific surgery,joy
407,still feel vulnerable around,fear
408,honestly sure feel stunned,surprise
409,feel caring person attract caring people life,love
410,im left feeling quite embarrassed say nothings new,sadness
411,feel unwelcome place buti cant decide scared anything ok situation staying dead end situation afraid things get worse,sadness
412,may may cried thanking making children feel special loved,joy
413,really want go buy yardage art gallery play feels amazing,surprise
414,feel like shes losing sense self adapt thinks loyal,love
415,feel burdened several loved ones miss big kid havent seen since friday,sadness
416,feel still really low abdomen,sadness
417,feel like welcomed tight knit family make sure feel alone ever,joy
418,feel doubtful,fear
419,usually use smaller legos however year students fine motor delays want students feel successful,joy
420,get exercise feel like im something worthwhile meantime,joy
421,feel like life rich fulfilling know people look way live feel misplaced pity,joy
422,feel blessed amazed yes excited,love
423,feel hesitant talking,fear
424,try get least minutes day five days week though known skip workout feeling particularly lethargic lazy,sadness
425,feeling beaten sick utterly devoid hope ever life want,sadness
426,feel hesitant comment want add pileon seems clear involved learned past experiences interested applying learning future projects,fear
427,feel quite passionate communion tremendous importance personally theologically,love
428,im feeling happy well,joy
429,find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling cities,sadness
430,got feeling brig sincere strong desire help others become successful financially also building strengthening relationships christianity,joy
431,feel like ive fake feelings lot often would liked,sadness
432,feeling energetic decided going bike rest temples,joy
433,im really like said understand way feel toni ight blamed excesses merican dream seldom witnessed never er seen hah hah hah hah hah,sadness
434,happpy get good results field academics athletics,joy
435,dont know want work always something makes feel stressed anxious work whatever job may jobs require sort rules pressure,sadness
436,id pop chair feeling like something worthwhile,joy
437,really hoping theyd get far enough ahead us could feel like navigating delighted punching second control headed onto trail woods,joy
438,feel like normally would angry thats actually think could never beautiful size,anger
439,wonder many people feel like perspective think sake without wanting turn result crappy work,sadness
440,feel indecisive whether feel book huckleberry finn censored,fear
441,known likes kamiki kun laughs nozomi feels unpleasant knot stomach must think fool nonchan,sadness
442,made choice start recognizing feeling unloved kicks choose keep persistence level allowing old reaction shut,sadness
443,feel like im hated celebrated cant wait till day say made,anger
444,still feel funny writing like maybe call spirit guide really observant cheerleader something,surprise
445,would rather feel nothing feel surprised find life depressing grey unrewarding,surprise
446,feel comfortable decision,joy
447,get really sweaty episodes stomach feel really funny like free falling,surprise
448,feeling overwhelmed lately,fear
449,learnt much wonderful world beaubronz feel lovely tanning brand fits perfectly latest mantra stolen boudoir lashes mother asma docrat,love
450,feel rebellious particularly like watching romcoms get feeling may pretty good writing,anger
451,didnt feel welcomed first entered morris quickly changed left feeling happy,joy
452,im contemplating feeling skeptical,fear
453,ive become anxious recent times certainly feeling amongst people belief siege often disadvantaged looked considered way different faith makes less worthy regard said,sadness
454,feel like care im bit heartless,anger
455,hate chemo thought toxins washing every single cell making feel horrible makes cringe,sadness
456,feel honoured hosted series talented,joy
457,love feel threatened around little,fear
458,feel reading allthingsbucks blog brought tears eyes lump throat feeling worthwhile thing upset shouldnt write lame blog,joy
459,feeling determined didnt take long start nomming naughty stuff,joy
460,feel honored many wonderful artists display work public see,joy
461,remember fully stressed fun feel could lively,joy
462,feel dazed href http twitter,surprise
463,feel bitchy hurting,anger
464,always feel like ive assaulted pics,sadness
465,im thankful everything seems working wrap week new job also feeling pretty lucky people lives,joy
466,feel incredibly isolated lonely,sadness
467,feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,anger
468,blood test yesterday perhaps im feeling particularly fond right doctors needle inside time spent dizzy head non meat eating nineteen year old female,love
469,admit worried feeling isolated work cubicle pretty much unless someone needs,sadness
470,im feeling like life fairly sweet,love
471,going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget perceived insults abuses,anger
472,feel like year teach get passionate job find love kids want try even harder,love
473,im one people bury feelings anger second giving sweet smile even pain anger,love
474,knew holy spirit work plus feels divine gooooood way like massage reassuring,joy
475,feel though ive reached point career im highly respected,joy
476,make light sometimes feel really awkward small groups one one conversations,sadness
477,ive lot good days feel fabulous lots energy lately ive also bad days feel gigantic slow clumsy,joy
478,also feel like google hated seo know,sadness
479,didnt get wink sleep night continued feeling fabulous next morning,joy
480,feel like feel mistake time fucked sleep take,anger
481,love sliding nice big throbbing cock feeling gorgeous body man,joy
482,found novel position feeling bit uncertain stock market rally,fear
483,feel like judging want seem like needy girl know,sadness
484,im definitely feeling festive,joy
485,feel burdened presence,sadness
486,still feel little dazed sort disbelieving feeling oh god,surprise
487,feeling super excited weeks seem flying getting closer closer due date,joy
488,turned page feel like way getting back irresponcible years carefree college,joy
489,favourites choice book dvd us uk im feeling generous limit something like,love
490,feeling energetic alive happier long time,joy
491,feel really pathetic confronted,sadness
492,feel dangerous games activities,anger
493,feel world class player benzema mould would fantastic,joy
494,feeling terribly burdened impending anxiety trying keep eyes prize,sadness
495,feel could unpleasant layered love healing forgiveness expectation things turn well,sadness
496,im feeling gloomy completed nothing though im supposed complete many things,sadness
497,working amount would like feel like lifestyle change successful far,joy
498,love porn industry feel satisfied fulfilled working say really bring big bucks,joy
499,overhear victory tune geeks ringtone feel triumphant,joy
500,love children literature authors feel need dumb things kids,sadness
501,soo quiet mixture sleeping well feeling bit isolated big group,sadness
502,feel greedy money hungry absolutely,anger
503,feel fucked want shut,anger
504,feel passionate certain topic love backing position actual knowledge facts instead relying solely opinions,joy
505,feel like today way suffering exam day open books everytime went home,sadness
506,feel surprised makes,surprise
507,woke morning hike feeling jubilant,joy
508,feel like little kid whose mom proud touched soccer ball game,joy
509,feel miserable inside outside like,sadness
510,must find way accept limitations older without feeling held back resentful,anger
511,feel incredibly charmed people life exciting amazing chapter things,joy
512,feel wronged judges people make times however also found actually life need responsible actions people around us,anger
513,know feelings stem part accepted mainstream importantly communities seek belongingness,joy
514,really like special edition really feel special songs,joy
515,feel must blog constantly loyal fans baker thia sandwich scruncher course mini rex,love
516,im currently feeling way fucked mother tongue paper,anger
517,feel innocent love,joy
518,feel like sweet carby yet low glycemic meal breakfast often dessert,joy
519,feel safe encoding utf locale en isprivate false ismobile false mobileclass isprivateblog false languagedirection ltr feedlinks link rel alternate type application atom xml title could use standing ovation could,joy
520,really lose lot nesting homemaking instinct desire pregnant longer im pregnant worse gets though get month reprieve feel creative around six month mark youll notice post halloween,joy
521,feel opportunity return moz gods gracious gracious way giving heat desire despite self doubt uncertainty past,joy
522,feel really lucky found resource always felt answers needed asking,joy
